site_area_id,site_area,date_time,Day,Month,Year,Chlorophyll-a Concentration (ug/L),Dissolved Oxygen (mg/L),Salinity (PSU),Turbidity,Dissolved Oxygen Saturation Percentage (%),Water Temperature (%),pH Level,Suspended Solids (mg/L),Ammonia (ug/L),Total Nitrogen (ug/L),Total Phosphorus (ug/L)
1282,Dromana Beach,16/08/1994,Tuesday,August,1994,0.62,9.24,34.004,,101.37,9.93,,2.6,4.77,170.42,63.48
1282,Dromana Beach,14/09/1994,Wednesday,September,1994,0.27,8.57,34.281,,99.28,12.4,,2.25,2.37,109.94,54.4
1282,Dromana Beach,12/10/1994,Wednesday,October,1994,0.22,8.69,34.435,,101.71,12.82,,0.6,3.12,104.72,46.41
1282,Dromana Beach,9/11/1994,Wednesday,November,1994,0.23,8.21,34.635,,98.453,13.93,,0.2,4.41,135.97,48.68
1282,Dromana Beach,6/12/1994,Tuesday,December,1994,0.22,8.03,33.969,,103.75,17.92,,5.25,1.64,132.63,52.12
1282,Dromana Beach,03/01/1995,Tuesday,January,1995,0.49,7.74,34.849,,102.97,19.18,,2.9,0.1,167.04,57.49
1282,Dromana Beach,31/01/1995,Tuesday,January,1995,0.75,7.17,34.699,,98.331,20.9,,0.35,2.64,185.56,69.4
1282,Dromana Beach,27/02/1995,Monday,February,1995,0.33,6.95,34.962,,96.632,21.58,,4.9,3.48,161.43,66.69
1282,Dromana Beach,23/05/1995,Tuesday,May,1995,1.96,8.15,34.793,,97.969,14.0,,6.0,2.22,139.55,71.15
1282,Dromana Beach,13/08/1995,Sunday,August,1995,4.99,11.09,31.593,,125.36,12.0,,3.29,6.14,222.32,66.13
1282,Dromana Beach,16/10/1995,Monday,October,1995,0.43,8.3,34.297,,99.603,14.1,,0.74,4.71,129.03,55.21
1282,Dromana Beach,28/12/1995,Thursday,December,1995,0.57,8.0,34.288,,103.68,18.0,,5.6,2.34,129.71,53.61
1282,Dromana Beach,15/02/1996,Thursday,February,1996,0.56,7.8,34.165,,103.903,19.5,,0.81,4.2,149.21,69.38
1282,Dromana Beach,27/03/1996,Wednesday,March,1996,0.71,7.47,34.3968,,102.262,20.9,,0.85,4.04,162.67,63.41
1282,Dromana Beach,16/05/1996,Thursday,May,1996,0.84,8.06,34.3036,,98.413,14.9,,2.63,2.03,147.19,69.89
1282,Dromana Beach,12/06/1996,Wednesday,June,1996,0.89,8.78,34.1424,,102.041,12.6,,1.59,1.7,136.08,59.09
1282,Dromana Beach,28/08/1996,Wednesday,August,1996,1.4,9.13,32.4485,,102.63,11.5,,4.25,1.74,162.4,55.3
1282,Dromana Beach,30/09/2004,Thursday,September,2004,0.4209,8.0728,35.5926,,96.7019,13.6,,1.5333,5.5084,145.536,62.1568
1282,Dromana Beach,20/10/2004,Wednesday,October,2004,0.2544,7.711,35.8556,,99.2,17.1,,2.5714,6.096,123.649,53.733
1282,Dromana Beach,27/04/2005,Wednesday,April,2005,0.9421,7.4128,35.7381,,95.4808,17.2,,3.8095,4.4832,168.123,80.3517
1282,Dromana Beach,13/05/2005,Friday,May,2005,0.6097,7.6568,36.3639,,96.1397,15.7,,7.2,4.6233,146.124,54.8169
1282,Dromana Beach,24/08/2005,Wednesday,August,2005,0.6201,8.6124,35.6096,,98.9501,11.6,,8.5,3.5051,105.132,44.9994
1282,Dromana Beach,01/09/2005,Thursday,September,2005,1.3565,8.7972,35.4412,,101.827,12.0,,6.7,3.9664,164.782,56.6379
1282,Dromana Beach,28/10/2005,Friday,October,2005,0.6792,8.833,35.3838,,113.531,17.2,,6.4,4.161,172.141,73.9718
1282,Dromana Beach,01/02/2006,Wednesday,February,2006,1.1425,6.7408,36.0376,,93.8932,21.3,,5.3,5.1673,167.936,79.7748
1282,Dromana Beach,20/06/2006,Tuesday,June,2006,0.4519,8.3626,36.3244,,93.2374,10.0,,5.0,3.9101,135.956,72.6556
1282,Dromana Beach,14/07/2006,Friday,July,2006,0.5163,8.3843,36.2795,,91.0044,8.8,,0.8,3.9327,140.378,68.3353
1282,Dromana Beach,12/05/2007,Saturday,May,2007,0.3817,8.001,37.017,,102.256,16.4,,0.8,3.258,120.83,52.965
1282,Dromana Beach,11/07/2007,Wednesday,July,2007,0.4858,8.83,36.6894,,,,,2.2,5.54,,63.0
1282,Dromana Beach,23/08/2007,Thursday,August,2007,0.5921,8.82,36.8007,,,,,1.4,4.19,,66.0
1282,Dromana Beach,1/11/2007,Thursday,November,2007,0.38532,8.070634389,36.5449,,100.0,,,3.2,11.081,123.11108,44.963633
1282,Dromana Beach,29/11/2007,Thursday,November,2007,,,,,,,,,,,
1282,Dromana Beach,29/11/2007,Thursday,November,2007,0.44133,7.800889569,37.14958,,102.0,,,1.0,7.661,142.83667,65.406341
1282,Dromana Beach,22/01/2008,Tuesday,January,2008,0.9299,7.182,36.7914,,97.2314,19.5,,2.7,7.1226,135.307,61.7542
1282,Dromana Beach,21/02/2008,Thursday,February,2008,0.8976,7.4743,37.1224,,103.266,20.5,,2.5,8.2122,156.933,71.2929
1282,Dromana Beach,12/03/2008,Wednesday,March,2008,0.4597,7.1199,37.1793,,98.7607,20.7,,1.5,5.8365,152.454,65.2383
1282,Dromana Beach,15/04/2008,Tuesday,April,2008,0.5369,7.7143,37.2325,,99.99,17.1,,1.3915,5.9964,139.228,58.4961
1282,Dromana Beach,14/05/2008,Wednesday,May,2008,0.6332,7.8917,37.3556,,102.69,17.1,,1.6,7.4572,155.49,68.7999
1282,Dromana Beach,17/06/2008,Tuesday,June,2008,0.784,8.1487,37.2663,,98.0217,13.3,,0.3735,14.5448,185.27,73.0273
1282,Dromana Beach,16/07/2008,Wednesday,July,2008,0.8387,8.8337,36.6132,,101.0,11.0,,0.1871,2.4567,115.571,49.521
1282,Dromana Beach,17/08/2008,Sunday,August,2008,1.1164,8.8766,36.5162,,101.479,11.1,,1.3592,6.8271,130.911,56.0557
1282,Dromana Beach,17/09/2008,Wednesday,September,2008,0.6686,8.1704,36.2276,,93.8356,11.4,,1.0329,5.4967,119.562,36.7459
1282,Dromana Beach,15/10/2008,Wednesday,October,2008,0.9064,7.952,36.6761,,96.4859,13.9,,0.9709,4.0445,130.916,51.6858
1282,Dromana Beach,11/11/2008,Tuesday,November,2008,0.3735,7.7633,36.5247,,100.84,17.1,,0.5825,6.4901,120.538,46.5479
1282,Dromana Beach,8/12/2008,Monday,December,2008,0.6853,7.7553,36.8346,,106.0,19.8,,1.3084,8.996,162.508,46.3714
1282,Dromana Beach,12/01/2009,Monday,January,2009,0.275,7.3074,36.875,,99.5287,19.8,,0.3865,7.0635,141.62,54.3802
1282,Dromana Beach,10/02/2009,Tuesday,February,2009,0.5299,6.8341,36.9804,,95.8914,21.4,,0.4673,7.1765,158.933,53.9714
1282,Dromana Beach,10/03/2009,Tuesday,March,2009,0.4383,7.1463,37.1555,,96.5971,19.3,,0.9,6.2619,135.409,45.0149
1282,Dromana Beach,14/04/2009,Tuesday,April,2009,0.9404,7.191,37.3363,,96.0,18.3,,1.1982,3.604,131.169,46.9505
1282,Dromana Beach,12/05/2009,Tuesday,May,2009,0.8013,7.7823,37.3651,,98.0,15.6,,0.4,4.4961,135.918,58.1771
1282,Dromana Beach,09/06/2009,Tuesday,June,2009,1.5246,7.9087,36.6587,,94.0,12.9,,2.8431,6.093,130.214,36.9782
1282,Dromana Beach,07/07/2009,Tuesday,July,2009,0.5211,8.2277,36.8667,,95.8,11.9,,0.186,5.1141,104.687,37.675
1282,Dromana Beach,13/08/2009,Thursday,August,2009,0.5551,8.3611,36.7062,,96.0,11.1,,0.7656,5.7338,126.347,43.6956
1282,Dromana Beach,18/09/2009,Friday,September,2009,0.4162,8.1325,36.5083,,97.75,13.3,,0.7921,4.9438,142.487,40.23
1282,Dromana Beach,22/10/2009,Thursday,October,2009,0.3513,7.9363,36.3975,,97.05,14.3,,0.5825,3.5874,126.058,38.217
1282,Dromana Beach,11/11/2009,Wednesday,November,2009,0.3987,7.6841,36.5898,,100.5,18.2,,0.7729,5.084,107.712,43.3774
1282,Dromana Beach,9/12/2009,Wednesday,December,2009,0.3823,7.361,36.4173,,99.31,19.3,,0.5769,4.349,139.242,37.0711
1282,Dromana Beach,14/01/2010,Thursday,January,2010,0.7306,7.1414,36.5706,,100.36,21.4,,0.5742,2.5913,146.322,43.4168
1282,Dromana Beach,12/02/2010,Friday,February,2010,1.1575,6.6073,36.6789,,93.94,22.0,,0.5769,5.7746,151.661,47.4306
1282,Dromana Beach,12/03/2010,Friday,March,2010,0.53,7.2322,36.378,,97.17,19.1,,0.4808,7.5201,124.681,36.4827
1282,Dromana Beach,14/04/2010,Wednesday,April,2010,0.8,7.319,36.1942,,93.01,16.1,,0.5128,6.9848,128.524,28.5543
1282,Dromana Beach,13/05/2010,Thursday,May,2010,0.7456,7.7475,36.0978,,95.01,14.3,,1.1594,7.5242,143.373,35.2593
1282,Dromana Beach,21/06/2010,Monday,June,2010,0.9508,8.2234,36.2046,,97.36,12.4,,0.6763,5.5448,129.511,32.6269
1282,Dromana Beach,16/07/2010,Friday,July,2010,0.7321,8.2967,35.9294,,95.73,11.4,,0.5769,5.7786,111.28,29.7157
1282,Dromana Beach,13/08/2010,Friday,August,2010,0.8693,8.524,35.9995,,97.67,11.0,,0.7767,7.5048,138.043,44.5503
1282,Dromana Beach,14/09/2010,Tuesday,September,2010,0.8237,8.5283,35.3624,,99.42,12.5,,0.5769,4.768,148.028,42.4289
1282,Dromana Beach,19/10/2010,Tuesday,October,2010,0.3956,8.006,35.7428,,96.92,13.8,,0.5769,7.1918,117.733,31.1713
1282,Dromana Beach,19/11/2010,Friday,November,2010,0.6467,7.5125,35.5702,,96.62,17.0,,1.244,5.1984,151.831,48.9945
1282,Dromana Beach,23/12/2010,Thursday,December,2010,0.725,7.572,35.1818,,98.98,17.9,,0.6731,7.1411,117.849,39.2196
1282,Dromana Beach,25/01/2011,Tuesday,January,2011,1.3289,6.6452,34.9303,,91.2,20.5,,1.0526,5.6484,164.38,53.3613
1282,Dromana Beach,18/02/2011,Friday,February,2011,1.4983,6.7847,34.847,,94.74,21.6,,0.8654,6.7768,170.172,57.1164
1282,Dromana Beach,18/03/2011,Friday,March,2011,0.9418,6.8959,34.8103,,91.64,18.9,,0.6731,6.0609,166.98,55.4673
1282,Dromana Beach,20/04/2011,Wednesday,April,2011,0.9979,7.4841,34.3711,,95.52,17.1,,1.0732,10.1248,174.21,58.7191
1282,Dromana Beach,18/05/2011,Wednesday,May,2011,4.4844,8.5612,33.0441,,100.21,12.9,,1.068,7.0107,202.884,53.3303
1282,Dromana Beach,27/06/2011,Monday,June,2011,6.5738,8.468,33.6147,,95.85,11.2,,1.561,5.9375,194.6,67.9327
1282,Dromana Beach,27/07/2011,Wednesday,July,2011,1.1054,8.5589,34.4344,,96.49,10.8,,0.5742,7.1625,136.209,54.1356
1282,Dromana Beach,26/08/2011,Friday,August,2011,1.4228,8.2421,34.1019,,95.13,12.0,,1.6505,7.6875,167.335,64.2937
1282,Dromana Beach,15/09/2011,Thursday,September,2011,0.3126,8.1747,34.3408,,95.97,12.9,,0.9804,5.7926,142.606,49.1184
1282,Dromana Beach,27/10/2011,Thursday,October,2011,0.4398,7.7179,34.6172,,96.49,,,0.6863,4.0294,136.076,48.8552
1282,Dromana Beach,24/11/2011,Thursday,November,2011,0.5534,7.301,34.5337,,95.12,18.1,,3.9423,6.8807,139.603,43.9232
1282,Dromana Beach,21/12/2011,Wednesday,December,2011,1.2785,7.2578,34.3558,,97.34,19.5,,1.3725,8.7003,168.368,47.7248
1282,Dromana Beach,20/01/2012,Friday,January,2012,0.7485,7.0137,34.3492,,95.93,20.6,,0.6763,6.4631,171.798,53.671
1282,Dromana Beach,19/02/2012,Sunday,February,2012,0.5078,6.6595,34.6441,,93.95,22.2,,0.5797,4.1296,158.668,62.5904
1282,Dromana Beach,29/03/2012,Thursday,March,2012,0.4074,7.0746,35.1051,,93.92,19.7,,1.1707,8.3602,147.668,52.1225
1282,Dromana Beach,23/04/2012,Monday,April,2012,0.4753,7.1973,35.0222,,93.79,18.1,,0.878,9.4045,160.642,60.1437
1282,Dromana Beach,06/06/2012,Wednesday,June,2012,0.4266,7.842,34.5606,,92.79,13.3,,0.7729,12.8113,155.356,57.6042
1282,Dromana Beach,23/07/2012,Monday,July,2012,1.2176,8.5936,34.0644,,98.11,12.7,,0.5882,5.4554,161.572,61.5761
1282,Dromana Beach,20/08/2012,Monday,August,2012,1.9959,8.5984,33.9722,,96.73912,11.1,,0.925,5.5617,164.765,61.2277
1282,Dromana Beach,2/10/2012,Tuesday,October,2012,1.1157,8.4062,33.9728,,98.9814,,,1.068,7.8623,165.375,47.6164
1282,Dromana Beach,29/10/2012,Monday,October,2012,0.4075,7.8569,34.4133,,100.7721,17.9,,0.878,5.1746,132.987,41.1746
1282,Dromana Beach,26/11/2012,Monday,November,2012,0.4193,7.8223,34.4991,,102.0517,18.7,,0.5825,5.2016,133.876,48.8707
1282,Dromana Beach,18/12/2012,Tuesday,December,2012,0.5361,7.3593,34.5221,,102.5724,22.0,,1.0628,4.255,142.948,55.6345
1282,Dromana Beach,30/01/2013,Wednesday,January,2013,0.4974,7.0334,35.1006,,97.93583,21.8,,0.8738,6.6691,167.487,58.0068
1282,Dromana Beach,07/03/2013,Thursday,March,2013,0.5654,7.0503,35.3553,,99.67763,22.7,,0.8252,6.1446,182.262,62.2497
1282,Dromana Beach,25/03/2013,Monday,March,2013,0.8576,7.0229,35.5109,,97.12673,21.1,,0.8571,5.086,192.85,68.4437
1282,Dromana Beach,30/04/2013,Tuesday,April,2013,0.4146,7.515,35.7491,,96.00442,16.7,,0.4831,5.949,117.685,59.6947
1282,Dromana Beach,26/07/2013,Friday,July,2013,0.9168,8.4388,35.2958,,95.75336,11.0,,1.0,7.1436,146.214,66.6629
1282,Dromana Beach,29/09/2013,Sunday,September,2013,1.0225,7.895,34.8037,,95.69688,14.4,,1.25,6.3484,149.954,49.01
1282,Dromana Beach,29/10/2013,Tuesday,October,2013,0.5906,8.211,35.3244,,,14.0,,0.2885,8.1072,133.018,44.442
1282,Dromana Beach,16/01/2014,Thursday,January,2014,0.3,7.19,35.3494,,101.7204,23.3,,0.228425,4.0,120.0,50.0
1282,Dromana Beach,24/02/2014,Monday,February,2014,0.3,7.242857143,35.8813,,99.26159,21.2,,0.49712,0.3,130.0,50.0
1282,Dromana Beach,13/03/2014,Thursday,March,2014,0.1,7.328571429,35.9619,,100.9662,21.4,,0.060432,0.3,140.0,70.0
1282,Dromana Beach,15/04/2014,Tuesday,April,2014,0.7,7.571428571,36.0317,,100.5315,18.7,,0.208606,0.6,140.0,70.0
1282,Dromana Beach,13/05/2014,Tuesday,May,2014,0.5,8.13,35.7886,,100.0868,14.6,,0.582645,1.0,140.0,70.0
1282,Dromana Beach,21/06/2014,Saturday,June,2014,0.9,8.24,35.5567,,97.97944,13.0,,1.05479,2.0,200.0,60.0
1282,Dromana Beach,22/07/2014,Tuesday,July,2014,0.8,8.7,35.5158,,99.41014,11.1,,1.5,1.0,120.0,40.0
1282,Dromana Beach,22/07/2014,Tuesday,July,2014,,9.40446,35.5621,1.566541,107.3879,,,,,,
1282,Dromana Beach,20/08/2014,Wednesday,August,2014,0.1,8.642857143,35.594,,99.42768,11.55,,2.0,0.1,100.0,40.0
1282,Dromana Beach,20/08/2014,Wednesday,August,2014,,9.35271,35.6059,1.043112,107.557,,,,,,
1282,Dromana Beach,19/09/2014,Friday,September,2014,0.7,8.271428571,35.4695,,98.49386,13.2,,2.7,1.0,130.0,30.0
1282,Dromana Beach,19/09/2014,Friday,September,2014,,8.81728,35.5539,1.620271,104.9928,,,,,,
1282,Dromana Beach,25/10/2014,Saturday,October,2014,0.1,7.6,35.712,,98.22139,17.2,,2.2,2.0,110.0,40.0
1282,Dromana Beach,25/10/2014,Saturday,October,2014,,8.14796,35.6996,1.409054,105.3405,,,,,,
1282,Dromana Beach,28/11/2014,Friday,November,2014,0.1,7.814285714,35.8121,,102.702,18.1,,2.2,0.1,130.0,40.0
1282,Dromana Beach,28/11/2014,Friday,November,2014,,8.34917,35.7585,0.960823,109.6684,,,,,,
1282,Dromana Beach,19/12/2014,Friday,December,2014,2.4,7.428571429,35.5506,,98.07126,18.5,,2.8,0.3,140.0,40.0
1282,Dromana Beach,19/12/2014,Friday,December,2014,,7.79601,35.5796,1.716969,103.0031,,,,,,
1282,Dromana Beach,7/12/2016,Wednesday,December,2016,0.3,,,,,,,1.4,1.0,170.0,50.0
1282,Dromana Beach,7/12/2016,Wednesday,December,2016,,7.5119,35.6698,0.444315,94.077,,,,,,
1282,Dromana Beach,06/01/2017,Friday,January,2017,,,35.8433,0.365753,,,,,,,
1282,Dromana Beach,17/02/2017,Friday,February,2017,0.7,,,,,20.8,,3.9,6.0,200.0,60.0
1282,Dromana Beach,17/02/2017,Friday,February,2017,,,36.0277,0.368225,,,,,,,
1282,Dromana Beach,09/03/2017,Thursday,March,2017,0.1,,,,,21.35,,1.2,3.0,210.0,60.0
1282,Dromana Beach,09/03/2017,Thursday,March,2017,,4.8413,36.1674,0.377586,,,,,,,
1282,Dromana Beach,06/04/2017,Thursday,April,2017,0.3,,,,,19.73,,1.9,4.0,170.0,40.0
1282,Dromana Beach,06/04/2017,Thursday,April,2017,,,36.111,0.242409,,,,,,,
1282,Dromana Beach,05/05/2017,Friday,May,2017,0.8,,,,,16.75,,1.3,2.0,230.0,70.0
1282,Dromana Beach,05/05/2017,Friday,May,2017,,,35.7116,0.522688,,,,,,,
1282,Dromana Beach,07/06/2017,Wednesday,June,2017,0.3,,,,,14.0,,1.0,7.0,150.0,30.0
1282,Dromana Beach,07/06/2017,Wednesday,June,2017,,,35.7468,0.410159,,,,,,,
1282,Dromana Beach,30/08/2017,Wednesday,August,2017,0.3,,,,,12.3,,4.0,6.0,180.0,40.0
1282,Dromana Beach,30/08/2017,Wednesday,August,2017,,7.5433,35.106,0.995,87.915,,,,,,
1282,Dromana Beach,3/10/2017,Tuesday,October,2017,0.3,,,,,14.6,,2.8,6.0,180.0,30.0
1282,Dromana Beach,3/10/2017,Tuesday,October,2017,,8.2725,35.8553,0.1646,99.258,,,,,,
1282,Dromana Beach,18/12/2017,Monday,December,2017,0.3,,,,,20.3,,0.8,1.0,190.0,60.0
1282,Dromana Beach,18/12/2017,Monday,December,2017,,7.2183,35.8813,0.3983,98.626,,,,,,
1282,Dromana Beach,08/02/2018,Thursday,February,2018,0.3,,,,,22.6,,1.9,4.0,210.0,80.0
1282,Dromana Beach,08/02/2018,Thursday,February,2018,,5.4822,36.1077,0.3816,78.22,,,,,,
1282,Dromana Beach,16/05/2018,Wednesday,May,2018,,7.7485,36.3955,0.1673,95.328,,,,,,
1282,Dromana Beach,21/06/2018,Thursday,June,2018,0.3,,,,,11.7,,1.5,4.0,180.0,50.0
1282,Dromana Beach,21/06/2018,Thursday,June,2018,,8.1392,36.3614,0.232,94.461,,,,,,
1282,Dromana Beach,28/08/2018,Tuesday,August,2018,0.3,10.9692,36.1259,0.7259,97.89,11.1,,1.2,2.0,190.0,50.0
1282,Dromana Beach,26/09/2018,Wednesday,September,2018,0.1,12.6958,36.1464,0.5323,101.16,12.9,,1.6,3.0,210.0,40.0
1282,Dromana Beach,25/10/2018,Thursday,October,2018,0.3,15.3068,36.294,0.2174,99.96,15.6,,1.1,4.0,200.0,50.0
1282,Dromana Beach,12/12/2018,Wednesday,December,2018,0.3,18.6663,36.2537,0.2507,96.62,19.2,,0.8,8.0,210.0,60.0
1282,Dromana Beach,03/01/2019,Thursday,January,2019,0.3,20.7892,36.2176,0.5502,96.78,21.0,,2.6,4.0,250.0,70.0
1282,Dromana Beach,30/01/2019,Wednesday,January,2019,0.3,23.2377,36.4585,1.1882,100.09,23.3,,4.4,4.0,300.0,60.0
1282,Dromana Beach,07/03/2019,Thursday,March,2019,0.3,7.159,36.6644,0.6324,98.55,20.0,,0.8,3.0,260.0,40.0
1282,Dromana Beach,04/04/2019,Thursday,April,2019,0.3,7.437,36.6869,0.5504,97.65,17.4,,1.3,1.0,230.0,40.0
1282,Dromana Beach,15/05/2019,Wednesday,May,2019,0.3,14.6071,36.679,-0.0128,98.82,14.6,,2.4,1.0,200.0,40.0
1282,Dromana Beach,07/06/2019,Friday,June,2019,0.5,12.634,36.5449,,101.49,12.7,,1.5,2.0,200.0,50.0
1282,Dromana Beach,21/06/2019,Friday,June,2019,0.5,8.704,36.431,0.3643,99.6,,8.161,1.8,3.0,180.0,60.0
1282,Dromana Beach,02/08/2019,Friday,August,2019,,,,,,,,,,,
1282,Dromana Beach,27/08/2019,Tuesday,August,2019,0.3,8.713,35.5864,0.6,100.18,,8.161,2.5,1.0,240.0,40.0
1282,Dromana Beach,27/08/2019,Tuesday,August,2019,,8.713,35.5864,0.6,100.18,,8.161,,,,
1282,Dromana Beach,25/09/2019,Wednesday,September,2019,0.3,8.54,35.6011,0.9991,102.96,,8.226,1.0,11.0,240.0,40.0
1282,Dromana Beach,22/10/2019,Tuesday,October,2019,0.5,8.236,35.9373,1.0841,100.44,,7.76,1.9,12.0,170.0,30.0
1282,Dromana Beach,20/11/2019,Wednesday,November,2019,0.5,8.107,36.0746,0.3748,103.69,,8.192,2.1,4.0,220.0,40.0
1282,Dromana Beach,16/12/2019,Monday,December,2019,0.3,7.923,36.202,0.3554,102.73,,8.23,1.4,0.1,180.0,40.0
1282,Dromana Beach,28/02/2020,Friday,February,2020,0.8,7.293,36.2332,0.5846,96.54,,8.262,1.6,6.0,200.0,40.0
1282,Dromana Beach,19/03/2020,Thursday,March,2020,0.3,7.232,36.4922,0.3338,98.11,,8.241,,11.0,200.0,50.0
1282,Dromana Beach,04/06/2020,Thursday,June,2020,0.5,8.457,35.6223,0.3393,99.93,,8.347,3.2,11.0,210.0,40.0
1282,Dromana Beach,07/07/2020,Tuesday,July,2020,0.5,8.393,35.3069,0.4123,96.67,,8.269,3.2,9.0,200.0,40.0
1282,Dromana Beach,30/07/2020,Thursday,July,2020,0.5,8.812,35.5412,0.3071,101.73,,8.286,2.6,9.0,190.0,50.0
1282,Dromana Beach,21/10/2020,Wednesday,October,2020,0.5,8.296,35.0374,0.2459,101.86,,8.53,2.9,11.0,190.0,40.0
1282,Dromana Beach,25/11/2020,Wednesday,November,2020,0.5,7.981,35.0893,0.0781,106.25,,8.255,2.1,9.0,230.0,60.0
1282,Dromana Beach,16/12/2020,Wednesday,December,2020,0.5,,,,,,,2.8,4.0,220.0,50.0
1282,Dromana Beach,03/03/2021,Wednesday,March,2021,1.1,7.294,35.7109,0.5226,96.52,,8.382,2.4,7.0,180.0,50.0
1282,Dromana Beach,16/04/2021,Friday,April,2021,1.1,7.718,35.6177,0.9581,96.96,,8.368,27.0,7.0,120.0,40.0
1282,Dromana Beach,21/05/2021,Friday,May,2021,1.1,8.38,35.1241,0.5677,98.99,,8.324,2.7,10.0,150.0,50.0
1282,Dromana Beach,06/07/2021,Tuesday,July,2021,1.1,8.661,34.1606,1.5753,97.23,,8.547,3.3,6.0,210.0,50.0
1282,Dromana Beach,22/09/2021,Wednesday,September,2021,0.5,8.718,34.8768,0.7971,101.66,,8.78,1.9,7.0,140.0,20.0
